0,0,0,217
0,0,0,219
0,3,92,221
0,0,153,222
0,0,83,223
0,0,74,222
0,0,75,221
0,0,75,219
0,0,76,217
0,0,80,214
0,0,78,211
0,0,82,208
0,0,83,205
0,0,87,202
0,0,91,200
0,0,91,198
0,0,95,197
0,0,94,196
0,0,96,196
0,0,95,197
0,0,95,198
0,0,93,200
0,0,93,202
0,0,90,205
0,0,88,208
0,0,86,211
0,0,83,215
0,0,80,218
0,0,79,221
0,0,77,223
0,0,75,226
0,0,72,227
0,0,74,228
0,0,71,229
0,0,72,228
0,0,71,228
0,0,73,226
0,0,73,224
0,0,74,222
0,0,75,219
0,0,78,217
0,0,77,214
0,0,80,211
0,0,82,208
0,0,83,205
0,0,87,203
0,0,88,201
0,0,90,199
0,0,94,198
0,0,93,197
0,0,95,197
0,0,94,197
0,0,95,197
0,0,94,198
0,0,93,198
0,0,93,199
0,0,90,200
0,0,92,200
0,0,92,200
0,0,92,200
0,0,91,200
0,0,91,199
0,0,92,197
0,0,95,196
0,0,97,193
0,0,99,190
0,0,100,187
0,0,107,184
0,0,114,180
0,0,120,176
0,0,125,172
0,0,135,168
0,0,148,164
0,0,162,160
0,0,179,156
0,0,198,153
0,0,217,150
0,0,243,148
0,1,10,146
0,1,36,145
0,1,46,144
0,1,59,143
0,1,80,143
0,1,83,143
0,1,78,144
0,1,68,144
0,1,62,145
0,1,56,145
0,1,50,146
0,1,38,146
0,1,36,147
0,1,24,147
0,1,26,147
0,1,25,147
0,1,19,146
0,1,40,146
0,1,42,146
0,1,41,145
0,1,43,145
0,1,49,145
0,1,55,145
0,1,51,145
0,1,46,146
0,1,40,147
0,1,20,148
0,1,14,150
0,0,246,153
0,0,225,156
0,0,209,159
0,0,187,163
0,0,167,167
0,0,157,171
0,0,144,176
0,0,126,181
0,0,116,186
0,0,111,190
0,0,106,195
0,0,100,199
0,0,94,203
0,0,90,207
0,0,87,210
0,0,86,213
0,0,82,215
0,0,80,217
0,0,79,218
0,0,77,219
0,0,79,220
0,0,78,220
0,0,78,219
0,0,79,218
0,0,76,217
0,0,80,216
0,0,81,215
0,0,79,214
0,0,80,212
0,0,81,210
0,0,82,209
0,0,81,207
0,0,85,205
0,0,86,204
0,0,90,202
0,0,90,200
0,0,91,198
0,0,94,195
0,0,97,193
0,0,99,190
0,0,103,187
0,0,109,183
0,0,112,180
0,0,116,176
0,0,127,172
0,0,136,168
0,0,150,164
0,0,159,160
0,0,174,156
0,0,198,152
0,0,229,148
0,1,6,145
0,1,44,142
0,1,99,140
0,1,141,138
0,1,195,137
0,1,239,137
0,2,3,138
0,1,222,139
0,1,194,142
0,1,116,144
0,1,80,148
0,1,15,152
0,0,238,157
0,0,200,163
0,0,173,168
0,0,149,174
0,0,135,180
0,0,119,186
0,0,110,192
0,0,103,197
0,0,95,202
0,0,91,207
0,0,87,211
0,0,85,215
0,0,79,218
0,0,78,220
0,0,77,221
0,0,76,222
0,0,77,222
0,0,76,222
0,0,75,221
0,0,77,220
0,0,76,217
0,0,79,215
0,0,81,212
0,0,83,209
0,0,81,206
0,0,87,202
0,0,89,198
0,0,94,194
0,0,99,190
0,0,102,186
0,0,109,182
0,0,115,178
0,0,123,175
0,0,128,171
0,0,139,167
0,0,150,164
0,0,163,161
0,0,177,158
0,0,192,155
0,0,204,153
0,0,221,151
0,0,240,150
0,0,250,150
0,0,249,150
0,0,250,151
0,0,242,152
0,0,231,154
0,0,214,157
0,0,202,161
0,0,175,166
0,0,161,171
0,0,144,176
0,0,131,182
0,0,117,188
0,0,109,195
0,0,100,201
0,0,92,207
0,0,87,213
0,0,81,219
0,0,78,224
0,0,75,227
0,0,73,230
0,0,71,232
0,0,70,233
0,0,70,232
0,0,71,230
0,0,71,227
0,0,73,223
0,0,76,218
0,0,77,212
0,0,81,205
0,0,86,197
0,0,92,189
0,0,102,181
0,0,114,174
0,0,130,166
0,0,150,160
0,0,176,154
0,0,208,149
0,0,246,146
0,1,32,143
0,1,71,143
0,1,85,144
0,1,69,146
